building,floor,class_no,connection_type
ENG,1,28,Vga
ENG,Z,21,Vga
ENG,B,19,Vga
ENG,B,19,HDMI
ENG,Z,15,Vga
ENG,Z,15,HDMI
SNA,B,172,Vga
SNA,B,172,HDMI
SNA,B,153,Vga
SNA,B,153,HDMI
SNA,B,152,Vga
SNA,B,152,HDMI
SOS,B,11,Vga
SOS,B,11,HDMI
SNA,B,119,Vga
SNA,B,119,HDMI
SOS,B,08,Vga
SOS,B,08,HDMI
ENG,B,30,Vga
ENG,B,30,HDMI
SOS,Z,27,Vga
SOS,Z,27,HDMI
SOS,Z,21,Vga
SOS,Z,21,HDMI
SOS,Z,15,Vga
SOS,Z,15,HDMI
SOS,Z,14,Vga
SOS,Z,14,HDMI
SOS,B,35,Vga
SOS,B,30,Vga
SOS,B,29,Vga
SOS,B,28,Vga
SOS,B,21,Vga
SOS,B,21,HDMI
SOS,B,16,Vga
SOS,B,16,HDMI
SOS,B,10,Vga
SOS,B,10,HDMI
SOS,B,07,Vga
SOS,B,07,HDMI
SOS,1,45,Vga
SOS,1,44,Vga
SOS,1,04,Vga
SOS,1,04,HDMI
SOS,1,03,Vga
SOS,1,03,HDMI
SNA,B,184,Vga
SNA,B,184,HDMI
SNA,B,173,Vga
SNA,B,173,HDMI
SNA,A,52,Vga
SNA,A,52,HDMI
SNA,A,42,Vga
SNA,A,42,HDMI
SNA,A,21,Vga
SNA,A,21,HDMI
SNA,A,11,Vga
SNA,A,11,HDMI
SNA,A,44,Vga
SNA,A,44,HDMI
SNA,1,61,Vga
SNA,1,61,HDMI
SNA,1,59,Vga
SNA,1,59,HDMI
SNA,1,58,Vga
SNA,1,58,HDMI
SNA,1,22,Vga
SNA,1,22,HDMI
SCI,Z,32,Vga
SCI,Z,29,Vga
SCI,Z,29,HDMI
SCI,Z,24,Vga
SCI,Z,24,HDMI
SCI,Z,09,Vga
SCI,Z,08,Vga
SCI,Z,07,Vga
SCI,Z,07,HDMI
SCI,Z,06,Vga
SCI,1,29,Vga
SCI,1,29,HDMI
SCI,1,26,Vga
SCI,1,25,Vga
SCI,1,03,Vga
SCI,1,03,HDMI
ENG,Z,21A,Vga
ENG,B,42,Vga
ENG,B,42,HDMI
ENG,B,32,Vga
ENG,B,29,Vga
ENG,B,29,HDMI
ENG,B,21,Vga
ENG,B,20B,Vga
ENG,B,20A,Vga
ENG,B,18,Vga
ENG,B,16,Vga
ENG,B,16,HDMI
ENG,B,15,Vga
ENG,B,11,Vga
ENG,B,06,Vga
ENG,B,05,Vga
ENG,1,20,Vga
ENG,1,20,HDMI
CASE,Z,48,Vga
CASE,Z,48,HDMI
CASE,Z,48,Mini Display Port
CASE,Z,33,Vga
CASE,Z,33,HDMI
CASE,Z,27,Vga
CASE,Z,27,HDMI
CASE,Z,26,Vga
CASE,Z,26,HDMI
CASE,Z,25,Vga
CASE,Z,25,HDMI
CASE,Z,24,Vga
CASE,Z,24,HDMI
CASE,Z,16C,Vga
CASE,Z,16C,HDMI
CASE,Z,16B,Vga
CASE,Z,16B,HDMI
CASE,Z,16A,Vga
CASE,Z,16A,HDMI
CASE,Z,08,Vga
CASE,Z,08,HDMI
CASE,B,41,Vga
CASE,B,41,HDMI
CASE,B,41,Mini Display Port
CASE,B,40,Vga
CASE,B,40,HDMI
CASE,B,40,Mini Display Port
CASE,B,39,Vga
CASE,B,39,HDMI
CASE,B,38,Vga
CASE,B,38,HDMI
CASE,B,35,Vga
CASE,B,35,HDMI
CASE,B,34,Vga
CASE,B,34,HDMI
CASE,B,33,Vga
CASE,B,33,HDMI
CASE,B,31,Vga
CASE,B,31,HDMI
CASE,B,30B,Vga
CASE,B,30A,Vga
CASE,B,26,Vga
CASE,B,26,HDMI
CASE,B,24,Vga
CASE,B,24,HDMI
CASE,B,15,Vga
CASE,B,13,Vga
CASE,B,13,HDMI
CASE,B,12,Vga
CASE,B,12,HDMI
CASE,2,16,Vga
CASE,2,16,HDMI
CASE,1,36,Vga
CASE,1,36,HDMI
CASE,1,34,Vga
CASE,1,34,HDMI
CASE,1,33,Vga
CASE,1,33,HDMI
CASE,1,24,Vga
CASE,1,24,HDMI
